"ID","Vehicle Type","Zipcode"
"1","1","64150"
"2","1","64150"
"3","2","64151"
"4","2","64151"
"5","3","64152"
"6","2","64152"
"7","2","64153"
"8","2","64153"
"9","1","64154"
"10","3","64154"
"11","3","64155"
"12","1","64155"
"13","3","64156"
"14","3","64156"
"15","3","64157"
"16","2","64157"
"17","3","64158"
"18","1","64158"
"19","3","64159"
"20","3","64159"
"21","1","64160"
"22","3","64160"
"23","1","64161"
"24","3","64161"
"25","1","64162"
"26","1","64162"
"27","3","64163"
"28","3","64163"
"29","3","64164"
"30","1","64164"
"31","2","64165"
"32","1","64165"
